n_subjects_paired,selected_off_mean,selected_on_mean,control_off_mean,control_on_mean,D_sel_mean_on_minus_off,D_ctl_mean_on_minus_off,interaction_mean_D_sel_minus_D_ctl,selected_state_t,selected_state_p_two_sided,selected_state_p_one_sided_less,control_state_t,control_state_p_two_sided,interaction_t,interaction_p_two_sided,interaction_p_one_sided_less,wilcoxon_selected_state_stat,wilcoxon_selected_state_p_two_sided,wilcoxon_control_state_stat,wilcoxon_control_state_p_two_sided,wilcoxon_interaction_stat,wilcoxon_interaction_p_two_sided,claim_supports_on_preferential_stability,metric,metric_label
14,1.834170515791236,2.156659514659134,2.3012368327860515,3.218542219541244,0.3224889988678976,0.9173053867551929,-0.5948163878872954,0.7993800752355728,0.438432573029758,0.780783713485121,1.8725891740027631,0.08378663563874204,-2.0756915858087703,0.05832618070702346,0.02916309035351173,39.0,0.42626953125,24.0,0.0784912109375,24.0,0.0784912109375,False,cv_mean,Coefficient of Variation (std/|mean|)
14,2.001951573394628,2.310198461743251,2.5215194138820936,3.5192892072194306,0.3082468883486224,0.9977697933373376,-0.6895229049887152,0.6688400906263975,0.5152995797113036,0.7423502101443482,1.8126708017744029,0.09303053828609234,-2.208164953094056,0.045805166684263064,0.022902583342131532,42.0,0.5416259765625,23.0,0.067626953125,22.0,0.0579833984375,False,norm_diff_mean,Normalized |Delta| (consecutive diff / |mean|)
