log_file,log_name,fold,combo_label,model_id,task,bold,beta,smooth,gamma,active_param_count,train_loss,test_loss,train_corr,test_corr,abs_train_corr,abs_test_corr,corr_gap,loss_gap,loss_gap_rel,norm_test_corr,norm_corr_gap,norm_loss_gap_rel,term_test_corr,term_corr_stability,term_loss_stability,score_component_test_corr,score_component_corr_stability,score_component_loss_stability,evaluation_score
slurm-8078053.out,slurm-8078053.out,1,"task=0, bold=0, beta=0, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0, smooth=0, gamma=1",0.0,0.0,0.0,0.0,1.0,0,-0.044671,-0.021337,0.211,-0.1322,0.211,0.1322,0.07879999999999998,0.023334000000000004,0.5223406160458454,0.2537740625548931,0.19314727104291413,0.23879288224776246,-0.2537740625548931,0.19314727104291413,0.23879288224776246,-0.07841618532946197,0.06064824310747503,0.09002491660740645,0.07225697438541952
slurm-8078053.out,slurm-8078053.out,2,"task=0, bold=0, beta=0, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0, smooth=0, gamma=1",0.0,0.0,0.0,0.0,1.0,0,-0.040034,-0.007996,0.1997,-0.0569,0.1997,0.0569,0.14279999999999998,0.032038,0.8002497814412388,0.09816179129769888,0.3601597056405836,0.3743280525164107,-0.09816179129769888,0.3601597056405836,0.3743280525164107,-0.030331993510988954,0.11309014757114325,0.14112167579868684,0.22387982985884114
slurm-8078053.out,slurm-8078053.out,3,"task=0, bold=0, beta=0, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0, smooth=0, gamma=1",0.0,0.0,0.0,0.0,1.0,0,-0.036567,-0.010264,0.1909,0.3745,0.1909,0.3745,0.1836,0.026303,0.7192900896959089,0.7545025263745233,0.4666301326965979,0.33484433995159135,-0.7545025263745233,0.4666301326965979,0.33484433995159135,-0.2331412806497277,0.14652186166673176,0.12623631616174993,0.039616897178753996
slurm-8078053.out,slurm-8078053.out,4,"task=0, bold=0, beta=0, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0, smooth=0, gamma=1",0.0,0.0,0.0,0.0,1.0,0,-0.038652,-0.007493,0.1962,0.135,0.1962,0.135,0.061200000000000004,0.031159,0.8061211290197398,0.25956044183138904,0.14721885152855507,0.37719148486354603,-0.25956044183138904,0.14721885152855507,0.37719148486354603,-0.08020417652589922,0.046226719379966294,0.14220118979355686,0.10822373264762394
slurm-8078053.out,slurm-8078053.out,5,"task=0, bold=0, beta=0, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0, smooth=0, gamma=1",0.0,0.0,0.0,0.0,1.0,0,-0.041466,-0.003397,0.2033,-0.05,0.2033,0.05,0.1533,0.038069000000000006,0.918055321098705,0.08390249950919104,0.3875601831917637,0.4317813353304123,-0.08390249950919104,0.3875601831917637,0.4317813353304123,-0.025925872348340033,0.12169389752221381,0.16278156341956543,0.25854958859343924
slurm-8078053.out,slurm-8078053.out,6,"task=0, bold=0, beta=0, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0, smooth=0, gamma=1",0.0,0.0,0.0,0.0,1.0,0,-0.042328,-0.002726,0.2054,0.1611,0.2054,0.1611,0.044300000000000006,0.039602,0.9355760825911313,0.31349776294444043,0.10311713051760799,0.440326139488756,-0.31349776294444043,0.10311713051760799,0.440326139488756,-0.09687080874983209,0.03237877898252891,0.166002954587261,0.10151092481995783
slurm-8078053.out,slurm-8078053.out,7,"task=0, bold=0, beta=0, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0, smooth=0, gamma=1",0.0,0.0,0.0,0.0,1.0,0,-0.041031,-0.00871,0.2022,0.1227,0.2022,0.1227,0.07949999999999999,0.032320999999999996,0.7877022811464223,0.2341417042953533,0.19497396954632615,0.36820868762794323,-0.2341417042953533,0.19497396954632615,0.36820868762794323,-0.07234978662726417,0.06122182643754641,0.1388146752357346,0.12768671504601684
slurm-8078053.out,slurm-8078053.out,8,"task=0, bold=0, beta=0, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0, smooth=0, gamma=1",0.0,0.0,0.0,0.0,1.0,0,-0.041371,-0.003684,0.203,-0.0421,0.203,0.0421,0.16090000000000002,0.037687,0.910930097650585,0.06757664369336323,0.40739290980023707,0.4283063928186418,-0.06757664369336323,0.40739290980023707,0.4283063928186418,-0.02088118290124924,0.12792137367727444,0.16147151009262797,0.26851170086865317
slurm-8078053.out,slurm-8078053.out,9,"task=0, bold=0, beta=0, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0, smooth=0, gamma=1",0.0,0.0,0.0,0.0,1.0,0,-0.040224,-0.010604,0.2002,0.5063,0.2002,0.5063,0.3061,0.02962,0.7363579863269111,1.0,0.7863023707936997,0.3431682837579042,-1.0,0.7863023707936997,0.3431682837579042,-0.309,0.2468989444292217,0.1293744429767299,0.0672733874059516
slurm-8078053.out,slurm-8078053.out,10,"task=0, bold=0, beta=0, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0, smooth=0, gamma=1",0.0,0.0,0.0,0.0,1.0,0,-0.039592,-0.012941,0.1986,0.0462,0.1986,0.0462,0.1524,0.026651,0.6731240370772611,0.07604955620537512,0.38521157083023405,0.312329343753472,-0.07604955620537512,0.38521157083023405,0.312329343753472,-0.023499312867460913,0.1209564332406935,0.11774816259505894,0.2152052829682915
